TSCode	TripCode	LineCode	RecordedTime	Longitude	Latitude	Count
A003	1281419	54	2021-09-20T12:01:19	71.43092	51.0950966	10
A003	1281419	54	2021-09-20T12:02:10	71.4288559	51.0954475	11
A003	1281419	54	2021-09-20T12:03:50	71.4283142	51.0990334	12
A003	1281419	54	2021-09-20T12:03:50	71.4283142	51.0990334	13
A003	1281419	54	2021-09-20T12:05:34	71.42993	51.1030655	14
A003	1281419	54	2021-09-20T12:06:04	71.4309158	51.10619	15
A003	1281419	54	2021-09-20T12:07:34	71.43188	51.1088371	16
A003	1281419	54	2021-09-20T12:08:40	71.43244	51.110218	16
A003	1281419	54	2021-09-20T12:09:11	71.43302	51.1123428	16
A003	1281419	54	2021-09-20T12:10:22	71.43287	51.1131248	16
A003	1281419	54	2021-09-20T12:11:19	71.42796	51.11388	16
A003	1281419	54	2021-09-20T12:12:17	71.42746	51.1151466	16
A003	1281419	54	2021-09-20T12:13:28	71.42816	51.1171379	16
A003	1281419	54	2021-09-20T12:14:23	71.42881	51.1187973	16
A003	1281419	54	2021-09-20T12:15:44	71.42907	51.11945	16
A003	1281419	54	2021-09-20T12:16:43	71.42931	51.12	16
A003	1281419	54	2021-09-20T12:17:32	71.4297256	51.1210022	16
A003	1281419	54	2021-09-20T12:18:16	71.42959	51.12109	16
A003	1281419	54	2021-09-20T12:19:31	71.43026	51.1225243	16
A003	1281419	54	2021-09-20T12:20:33	71.43059	51.1234856	16
A003	1281419	54	2021-09-20T12:22:10	71.43643	51.12481	16
A003	1281419	54	2021-09-20T12:22:40	71.43643	51.12481	16
A003	1281419	54	2021-09-20T12:23:49	71.43825	51.1258163	16
A003	1281419	54	2021-09-20T12:24:50	71.43937	51.12872	16
A003	1281419	54	2021-09-20T12:25:37	71.44003	51.1302757	16
A003	1281419	54	2021-09-20T12:26:07	71.4417	51.1317024	16
A003	1281419	54	2021-09-20T12:27:32	71.43677	51.1329575	16
A003	1281419	54	2021-09-20T12:28:23	71.43538	51.1332245	16
A003	1281419	54	2021-09-20T12:30:07	71.42966	51.1342163	30
A003	1281419	54	2021-09-20T12:31:10	71.42302	51.1353569	30
A003	1281419	54	2021-09-20T12:31:29	71.42267	51.1354065	30
A003	1281419	54	2021-09-20T12:32:30	71.41362	51.13679	30
A003	1281419	54	2021-09-20T12:33:32	71.4098358	51.1397247	30
A003	1281419	54	2021-09-20T12:34:47	71.41163	51.144062	30
A003	1281419	54	2021-09-20T12:35:29	71.41209	51.1455345	30
A003	1281419	54	2021-09-20T12:36:30	71.4122	51.14592	30
A003	1281419	54	2021-09-20T12:37:52	71.41286	51.15094	30
A003	1281419	54	2021-09-20T12:39:04	71.41212	51.1559143	30
A003	1281419	54	2021-09-20T12:39:34	71.4112	51.1591263	30
A003	1281419	54	2021-09-20T12:40:22	71.41032	51.1620865	30
A003	1281419	54	2021-09-20T12:41:24	71.41013	51.162693	30
A003	1281419	54	2021-09-20T12:42:26	71.41	51.1631	30
A003	1281419	54	2021-09-20T12:44:19	71.40828	51.1689377	30
A003	1281419	54	2021-09-20T12:44:50	71.40815	51.1695023	30
A003	1281419	54	2021-09-20T12:45:58	71.40759	51.1716	30
A003	1281419	54	2021-09-20T12:46:42	71.4074	51.1722374	30
A003	1281419	54	2021-09-20T12:47:37	71.40699	51.1739578	30
A003	1281419	54	2021-09-20T12:48:08	71.4067	51.1746521	30
A003	1281419	54	2021-09-20T12:49:10	71.40662	51.174984	30
A003	1281419	54	2021-09-20T12:51:04	71.39579	51.17625	30
A003	1281419	54	2021-09-20T12:52:08	71.38703	51.17827	30
A003	1281419	54	2021-09-20T12:52:59	71.38156	51.1796875	30
A003	1281419	54	2021-09-20T12:53:44	71.3769455	51.1808624	30
A003	1281419	54	2021-09-20T12:54:38	71.3731155	51.18188	30
A003	1281419	54	2021-09-20T12:55:24	71.3697357	51.18267	30
A003	1281419	54	2021-09-20T12:56:42	71.36824	51.1830978	30
A003	1281419	54	2021-09-20T12:58:22	71.3580551	51.1855965	30
A003	1281419	54	2021-09-20T12:58:52	71.3542938	51.1864777	30
A003	1281419	54	2021-09-20T12:59:12	71.35278	51.1868858	30
A003	1281419	54	2021-09-20T12:59:12	71.35278	51.1868858	30
A003	1281419	54	2021-09-20T12:59:12	71.35278	51.1868858	30
A003	1281419	54	2021-09-20T12:59:12	71.35278	51.1868858	30
A003	1281419	54	2021-09-20T12:59:12	71.35278	51.1868858	30
A003	1281419	54	2021-09-20T12:59:12	71.35278	51.1868858	30
A003	1281419	54	2021-09-20T12:59:12	71.35278	51.1868858	30
